_gddid	title	year	intersection_words_sitenames	exptected_sitename	_id	link_url
54b43249e138239d86849f76	Biomass burning in Indonesia and Papua New Guinea: natural and human induced fire events in the fossil record	2001	[]	['Ijomba']	10.1016/S0031-0182(01)00248-6	http://www.sciencedirect.com/science/article/pii/S0031018201002486
5504dfbce1382326932d89ef	Sedimentary evidence of landscape and climate history since the end of MIS 3 in the Krkonoše Mountains, Czech Republic	2010	[]	['Labský důl', 'Labský důl']	10.1016/j.quascirev.2009.12.008	http://www.sciencedirect.com/science/article/pii/S0277379109004211
55059631e1382326932d8dcf	Moving front or population expansion: How did Picea abies (L.) Karst. become frequent in central Sweden?	2005	[]	['Klotjärnen', 'Klotjärnen', 'Holtjärnen']	10.1016/j.quascirev.2005.03.002	http://www.sciencedirect.com/science/article/pii/S0277379105000971
57487289cf58f14b28730d7e	A Late-Quaternary pollen profile from Woodstock, Ontario	1978	[]	['Maplehurst Lake']	10.1139/e78-116	http://www.nrcresearchpress.com/doi/abs/10.1139/e78-116
58334753cf58f177a7b7985b	A high-resolution record of Late-Glacial and Early-Holocene climatic and environmental change in the Czech Republic	2002	[]	['Švarcenberk']	10.1016/S1040-6182(01)00105-7	http://www.sciencedirect.com/science/article/pii/S1040618201001057
58b26f09cf58f10dc84410e6	30. Peat bog Kumata-1, Vitosha Mountain (Bulgaria)	2016	[]	['Kumata', 'Kumata']	10.1080/00173134.2016.1146330	http://www.tandfonline.com/doi/full/10.1080/00173134.2016.1146330
58d28a85cf58f1454bf18ea7	15. Brve (Czech Republic): Vegetation development over the last about 2.5 millennia in the Bohemian Lowland close to Prague	2011	[]	['Břve', 'Břve']	10.1080/00173134.2011.645551	http://www.tandfonline.com/doi/abs/10.1080/00173134.2011.645551
