         20310945 function calls (20131090 primitive calls) in 25.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    34462    0.069    0.000    1.618    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1378(text_contains_sentbreak)
       30    0.067    0.002    0.067    0.002 {method 'astype' of 'numpy.ndarray' objects}
   106657    0.067    0.000    0.067    0.000 {method 'extend' of 'list' objects}
   106642    0.063    0.000    0.338    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:180(search)
   106640    0.062    0.000    0.129    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:256(<lambda>)
   231093    0.059    0.000    0.059    0.000 {method 'endswith' of 'str' objects}
   106642    0.056    0.000    0.262    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:185(sub)
        1    0.053    0.053    0.087    0.087 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:911(_limit_features)
    18462    0.051    0.000    0.086    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1606(_ortho_heuristic)
   213294    0.050    0.000    0.050    0.000 {method 'replace' of 'str' objects}
175566/111184    0.049    0.000    3.405    0.000 {built-in method builtins.next}
   427892    0.048    0.000    0.048    0.000 {method 'append' of 'list' objects}
    87016    0.048    0.000    0.136    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:422(_get_type)
   106640    0.047    0.000    0.047    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:148(_word_ngrams)
  162/138    0.045    0.000    0.053    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   106658    0.041    0.000    0.065    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/posixpath.py:41(_get_sep)
   106643    0.039    0.000    0.039    0.000 {method 'index' of 'str' objects}
       39    0.039    0.001    0.039    0.001 {method 'copy' of 'numpy.ndarray' objects}
   213312    0.039    0.000    0.039    0.000 {built-in method posix.fspath}
        1    0.038    0.038    0.168    0.168 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:897(_sort_features)
    85986    0.034    0.000    0.077    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:463(is_ellipsis)
        2    0.034    0.017    0.034    0.017 {pandas._libs.lib.map_infer}
   175568    0.033    0.000    0.033    0.000 {built-in method builtins.iter}
        2    0.032    0.016    0.032    0.016 {built-in method _pickle.load}
   106640    0.029    0.000    0.030    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:279(period_context_re)
    37283    0.029    0.000    0.035    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:426(type_no_period)
        1    0.027    0.027   25.339   25.339 src/modules/modelling/model.py:32(main)
        9    0.026    0.003    0.026    0.003 {built-in method pandas._libs.missing.isnaobj}
        3    0.026    0.009    0.031    0.010 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:1854(_stack_arrays)
    34462    0.023    0.000    0.163    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:263(word_tokenize)
    23732    0.021    0.000    0.025    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:445(first_upper)
   106643    0.020    0.000    0.020    0.000 {method 'keys' of 'dict' objects}
   107011    0.020    0.000    0.020    0.000 {method 'rstrip' of 'str' objects}
    34462    0.018    0.000    0.018    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1414(_annotate_tokens)
       52    0.018    0.000    0.018    0.000 {pandas._libs.lib.infer_dtype}
   106646    0.016    0.000    0.016    0.000 {method 'values' of 'dict' objects}
        4    0.016    0.004    0.016    0.004 {method 'predict' of 'sklearn.tree._tree.Tree' objects}
        2    0.015    0.007    0.015    0.007 {pandas._libs.algos.take_2d_axis1_object_object}
        1    0.014    0.014    0.014    0.014 {built-in method scipy.sparse._sparsetools.csr_column_index2}
   106640    0.014    0.000    0.014    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:240(<lambda>)
        1    0.012    0.012   19.445   19.445 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:1027(fit_transform)
    34454    0.012    0.000    0.032    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:473(is_initial)
      111    0.011    0.000    0.011    0.000 {built-in method numpy.empty}
    52454    0.011    0.000    0.012    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:435(type_no_sentperiod)
       13    0.011    0.001    0.011    0.001 {method 'take' of 'numpy.ndarray' objects}
        6    0.007    0.001    0.013    0.002 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:3305(_merge_blocks)
