         64870380 function calls (61106257 primitive calls) in 46.589 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1505186    0.255    0.000    0.255    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:1523(_block)
   323111    0.247    0.000    0.492    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:460(name)
   109900    0.233    0.000    0.479    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:120(__init__)
   213895    0.229    0.000    0.582    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/core/numerictypes.py:365(issubdtype)
  1073593    0.228    0.000    0.228    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:209(classes)
   537033    0.227    0.000    1.696    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:539(is_datetime64tz_dtype)
   427790    0.220    0.000    0.331    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/core/numerictypes.py:293(issubclass_)
   323168    0.219    0.000    1.179    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:577(is_timedelta64_dtype)
   109900    0.215    0.000    3.546    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:3241(make_block)
       15    0.199    0.013    6.542    0.436 {pandas._libs.lib.map_infer}
   326121    0.189    0.000    0.247    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/inference.py:386(is_hashable)
   213285    0.189    0.000    0.532    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:175(set_axis)
       19    0.183    0.010    1.504    0.079 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/lib/function_base.py:2154(_vectorize_call)
   322985    0.181    0.000    0.514    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:325(__len__)
   536493    0.179    0.000    0.255    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/indexes/base.py:5707(ensure_index)
  1291819    0.174    0.000    0.174    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:207(internal_values)
  1010963    0.172    0.000    1.321    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:3025(re_replacer)
   112720    0.163    0.000    5.288    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/ast.py:38(literal_eval)
   213894    0.162    0.000    0.369    0.000 {pandas._libs.lib.is_list_like}
