         20310937 function calls (20131082 primitive calls) in 26.276 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   121478    0.076    0.000    1.141    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:582(_annotate_first_pass)
    34462    0.075    0.000    1.635    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1378(text_contains_sentbreak)
  162/138    0.071    0.000    0.080    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
   106642    0.067    0.000    0.362    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:180(search)
   106640    0.064    0.000    0.138    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:256(<lambda>)
       30    0.064    0.002    0.064    0.002 {method 'astype' of 'numpy.ndarray' objects}
   504011    0.062    0.000    0.062    0.000 {built-in method builtins.setattr}
   231091    0.060    0.000    0.060    0.000 {method 'endswith' of 'str' objects}
   106642    0.059    0.000    0.271    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:185(sub)
    87016    0.057    0.000    0.146    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:422(_get_type)
359895/359505    0.055    0.000    0.056    0.000 {built-in method builtins.len}
   213294    0.054    0.000    0.054    0.000 {method 'replace' of 'str' objects}
175566/111184    0.052    0.000    3.474    0.000 {built-in method builtins.next}
   106640    0.050    0.000    0.050    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:148(_word_ngrams)
   427892    0.049    0.000    0.049    0.000 {method 'append' of 'list' objects}
   106657    0.044    0.000    0.064    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/posixpath.py:41(_get_sep)
    18462    0.044    0.000    0.069    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1606(_ortho_heuristic)
   213311    0.043    0.000    0.043    0.000 {built-in method posix.fspath}
   106643    0.042    0.000    0.042    0.000 {method 'index' of 'str' objects}
        1    0.040    0.040    0.192    0.192 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:897(_sort_features)
    85986    0.037    0.000    0.079    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:463(is_ellipsis)
   175568    0.035    0.000    0.035    0.000 {built-in method builtins.iter}
        2    0.034    0.017    0.034    0.017 {pandas._libs.lib.map_infer}
   106640    0.032    0.000    0.032    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:279(period_context_re)
        2    0.031    0.016    0.031    0.016 {built-in method _pickle.load}
    37283    0.029    0.000    0.035    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:426(type_no_period)
       52    0.029    0.001    0.029    0.001 {pandas._libs.lib.infer_dtype}
        1    0.027    0.027   26.276   26.276 src/modules/modelling/model.py:33(main)
        3    0.025    0.008    0.032    0.011 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:1854(_stack_arrays)
    34462    0.025    0.000    0.169    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:263(word_tokenize)
   106643    0.022    0.000    0.022    0.000 {method 'keys' of 'dict' objects}
   107011    0.021    0.000    0.021    0.000 {method 'rstrip' of 'str' objects}
    34462    0.019    0.000    0.019    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1414(_annotate_tokens)
        9    0.017    0.002    0.017    0.002 {built-in method pandas._libs.missing.isnaobj}
   106646    0.016    0.000    0.016    0.000 {method 'values' of 'dict' objects}
        1    0.016    0.016    0.016    0.016 {built-in method scipy.sparse._sparsetools.csr_column_index2}
        2    0.016    0.008    0.016    0.008 {pandas._libs.algos.take_2d_axis1_object_object}
        4    0.014    0.004    0.014    0.004 {method 'predict' of 'sklearn.tree._tree.Tree' objects}
       13    0.014    0.001    0.014    0.001 {method 'take' of 'numpy.ndarray' objects}
   106640    0.014    0.000    0.014    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:240(<lambda>)
